FIPS,2010 MR,2011 MR,2012 MR,2013 MR,2014 MR,2015 MR,2016 MR,2017 MR,2018 MR,2019 MR,2020 MR,2021 MR,2022 MR
01001,11.02,5.95,3.7,2.2,6.92,3.3,5.83,4.91,3.98,5.72,6.38,14.7,26.73
01003,14.26,12.85,17.82,11.25,18.99,21.11,15.34,12.7,12.84,12.09,27.48,36.77,30.43
01005,0.78,1.36,0.0,1.29,1.05,0.0,1.48,1.02,0.0,9.67,7.36,12.27,9.94
01007,15.38,8.1,9.09,11.42,14.43,12.2,13.25,15.84,14.57,14.34,19.89,26.3,33.43
01009,17.45,23.31,29.4,22.46,20.79,19.07,24.26,31.03,17.29,17.29,19.01,27.1,25.21
01011,0.0,6.08,4.41,0.0,4.2,3.31,6.52,0.0,0.0,17.27,12.46,0.0,17.85
01013,0.0,24.9,0.0,0.0,15.42,4.74,0.0,17.3,0.0,3.14,12.39,28.46,33.76
01015,17.71,11.88,14.52,19.75,16.39,17.3,13.09,27.02,14.88,17.6,25.56,26.73,48.36
01017,4.93,16.47,7.87,3.32,11.15,7.72,14.73,14.19,6.5,7.04,18.1,19.83,14.16
01019,19.14,12.28,17.54,21.34,15.35,19.7,15.55,26.72,20.66,17.05,25.26,26.81,28.43
01021,25.2,7.35,7.92,7.08,7.91,6.58,8.66,8.47,8.93,9.6,7.77,26.51,30.51
01023,4.75,0.0,3.02,7.88,0.0,5.93,0.0,0.0,0.0,0.47,0.0,11.17,17.2
01025,6.9,3.21,6.84,7.54,13.93,7.04,3.84,3.77,8.04,4.32,9.16,15.24,30.97
01027,0.0,0.0,12.1,0.0,0.0,0.0,14.38,20.86,10.02,3.78,9.59,11.66,13.81
01029,20.21,0.0,14.85,11.87,14.33,15.58,0.0,24.1,0.0,0.0,27.09,0.0,0.0
01031,3.31,13.72,2.51,0.0,1.48,4.71,0.0,3.99,12.95,12.64,19.12,20.28,24.72
01033,11.87,12.93,18.49,31.71,21.09,16.73,11.92,5.94,15.15,11.86,33.89,22.62,22.4
01035,0.0,42.0,0.0,11.41,34.45,12.19,0.0,34.72,16.32,0.0,27.56,68.12,40.53
01037,10.99,7.67,13.02,7.98,0.0,6.55,16.54,14.99,12.77,0.0,0.0,20.8,20.98
01039,7.32,25.84,5.9,0.0,14.18,11.13,0.0,18.01,18.56,17.45,25.3,45.76,29.25
01041,0.0,16.55,0.0,0.0,2.8,4.43,0.0,7.47,7.9,6.36,12.76,19.25,24.32
01043,27.75,12.42,14.92,19.8,36.91,19.51,23.04,22.96,22.77,16.71,18.93,37.99,34.19
01045,4.7,4.69,4.3,5.48,3.12,5.55,0.79,5.59,5.73,9.17,15.2,20.27,20.18
01047,9.05,2.45,2.9,2.54,2.31,0.0,0.0,0.0,3.61,3.83,0.0,7.3,46.24
01049,15.13,15.41,22.51,32.39,17.24,26.71,25.39,36.3,21.01,30.76,25.12,16.71,26.39
01051,11.02,8.04,7.63,4.56,12.35,4.39,13.43,8.55,8.23,12.31,12.17,18.61,11.17
01053,26.1,42.0,10.35,34.23,34.45,19.85,10.64,34.72,32.65,38.22,27.56,68.12,51.82
01055,11.49,14.38,19.6,20.21,17.39,21.35,14.63,34.06,27.32,18.58,19.54,28.11,30.07
01057,21.53,33.33,16.78,27.92,11.37,15.05,8.26,17.01,7.15,12.54,30.79,33.6,44.26
01059,23.85,21.04,18.31,31.71,15.13,8.58,8.59,0.0,9.32,14.49,22.83,16.39,34.45
01061,8.68,10.65,9.26,4.74,0.0,6.95,4.28,11.51,14.57,17.58,23.22,27.94,26.53
01063,0.0,0.0,3.9,12.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01065,9.75,2.79,0.0,9.28,6.57,3.31,0.0,6.54,6.87,0.0,10.2,12.96,17.34
01067,0.0,0.0,3.22,6.43,0.0,4.16,0.0,4.57,0.0,0.0,9.35,11.1,13.82
01069,12.8,12.7,9.67,19.29,12.48,12.48,2.51,14.38,17.19,9.44,15.01,13.03,21.28
01071,12.64,13.57,24.52,19.83,19.1,24.36,14.04,24.47,17.84,26.18,23.66,30.91,20.8
01073,9.11,12.9,10.91,14.56,26.48,24.83,30.33,31.55,28.21,29.31,40.74,52.11,57.26
01075,0.0,20.1,8.39,19.83,0.0,8.16,0.0,8.64,0.0,0.0,21.79,33.14,34.79
01077,11.87,12.93,21.19,30.81,26.24,25.87,11.92,11.89,15.15,11.86,40.19,20.2,32.33
01079,20.45,16.22,18.67,25.71,21.9,15.74,13.2,10.62,15.6,13.24,27.58,0.0,27.7
01081,5.69,13.09,6.79,6.63,7.78,10.83,12.96,9.28,6.71,6.69,11.99,12.41,11.62
01083,16.91,11.71,16.58,14.25,12.8,21.69,13.03,16.68,15.48,16.85,27.05,22.73,9.02
01085,0.0,10.24,0.0,0.0,0.0,2.21,0.0,5.98,0.0,0.0,0.0,0.0,30.01
01087,0.0,10.08,6.1,3.74,7.45,5.03,14.5,5.13,8.0,14.16,0.0,16.87,16.85
01089,10.45,8.82,8.16,6.63,6.57,11.61,17.09,21.33,12.82,21.18,26.09,33.15,27.26
01091,3.76,0.0,2.39,5.94,4.76,0.0,0.0,0.0,2.96,0.77,3.2,2.59,19.09
01093,27.07,35.96,18.01,32.33,0.0,10.01,0.0,8.54,0.0,11.99,22.62,30.27,47.56
